sample1,A_tumefaciens,B_albus,B_cereus,B_cereus1,B_cereus2,B_izardii1,B_izardii2,B_proteolyticus1,B_proteolyticus2,B_safensis1,B_safensis2,B_subtilis,B_thuringiensis,C_braakii,C_freundii1,C_freundii2,C_lactis1,C_lactis2,C_lactis3,C_lactis4,C_lactis5,C_lactis6,C_lactis7,C_lactis8,C_lathyri2,C_odontotermitis,Cm,EColi_gfp,E_aerogenes,E_americana1,E_americana2,E_americana3,E_cloacae,E_cloacae1,E_cloacae2,E_coli1,F_banpakuense1,F_banpakuense2,F_ginsengiterrae,L_amnigena,L_macroides,M_kyungheense,PAg1_gfp,PP_gfp,P_agglomerans1,P_agglomerans3,P_allii,P_citronellolis,P_corrugata,P_eucalypti,P_helmanticensis,P_koreensis1,P_koreensis2,P_koreensis3,P_monteilii1,P_monteilii2,P_mosselii,P_plecoglossicida1,P_putida1,P_putida2,P_putida3,P_rhodesiae2,P_simiae,P_vagans,P_viridiflava,R_planticola1,R_planticola2,R_planticola3,R_planticola4,S_fonticola1,S_fonticola2,S_fonticola3,S_rhizophila,V_guangxiensis
F_banpakuense1,0.265,0.265,0.265,0.265,0.265,0.265,0.265,0.265,0.265,0.265,0.265,0.265,0.265,0.265,0.265,0.265,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.265,0.265,0.265,0.265,0.265,0.265,0.265,0.265,0.265,0.265,0.265,0.0,0.0,0.0,0.265,0.265,0.265,0.265,0.265,0.265,0.265,0.265,0.265,0.265,0.265,0.265,0.265,0.265,0.265,0.265,0.265,0.265,0.265,0.265,0.265,0.265,0.265,0.265,0.265,0.265,0.265,0.265,0.265,0.265,0.265,0.265,0.265,0.265,0.265
F_banpakuense2,0.265,0.265,0.265,0.265,0.265,0.265,0.265,0.265,0.265,0.265,0.265,0.265,0.265,0.265,0.265,0.265,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.265,0.265,0.265,0.265,0.265,0.265,0.265,0.265,0.265,0.265,0.265,0.0,0.0,0.0,0.265,0.265,0.265,0.265,0.265,0.265,0.265,0.265,0.265,0.265,0.265,0.265,0.265,0.265,0.265,0.265,0.265,0.265,0.265,0.265,0.265,0.265,0.265,0.265,0.265,0.265,0.265,0.265,0.265,0.265,0.265,0.265,0.265,0.265,0.265
F_ginsengiterrae,0.265,0.265,0.265,0.265,0.265,0.265,0.265,0.265,0.265,0.265,0.265,0.265,0.265,0.265,0.265,0.265,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.265,0.265,0.265,0.265,0.265,0.265,0.265,0.265,0.265,0.265,0.265,0.0,0.0,0.0,0.265,0.265,0.265,0.265,0.265,0.265,0.265,0.265,0.265,0.265,0.265,0.265,0.265,0.265,0.265,0.265,0.265,0.265,0.265,0.265,0.265,0.265,0.265,0.265,0.265,0.265,0.265,0.265,0.265,0.265,0.265,0.265,0.265,0.265,0.265
L_amnigena,0.166,0.204,0.204,0.204,0.204,0.022,0.022,0.204,0.204,0.204,0.204,0.204,0.204,0.022,0.022,0.022,0.265,0.265,0.265,0.265,0.265,0.265,0.265,0.265,0.265,0.17,0.204,0.044,0.022,0.041,0.041,0.041,0.028,0.028,0.028,0.044,0.265,0.265,0.265,0.0,0.204,0.204,0.029,0.122,0.029,0.029,0.029,0.122,0.122,0.029,0.122,0.122,0.122,0.122,0.122,0.122,0.122,0.122,0.122,0.122,0.122,0.122,0.122,0.029,0.122,0.022,0.022,0.022,0.022,0.037,0.037,0.037,0.144,0.17
L_macroides,0.204,0.052,0.052,0.052,0.052,0.204,0.204,0.052,0.052,0.052,0.083,0.052,0.052,0.204,0.204,0.204,0.265,0.265,0.265,0.265,0.265,0.265,0.265,0.265,0.265,0.204,0.186,0.204,0.204,0.204,0.204,0.204,0.204,0.204,0.204,0.204,0.265,0.265,0.265,0.204,0.0,0.186,0.204,0.204,0.204,0.204,0.204,0.204,0.204,0.204,0.204,0.204,0.204,0.204,0.204,0.204,0.204,0.204,0.204,0.204,0.204,0.204,0.204,0.204,0.204,0.204,0.204,0.204,0.204,0.204,0.204,0.204,0.204,0.204
M_kyungheense,0.204,0.186,0.186,0.186,0.186,0.204,0.204,0.186,0.186,0.186,0.186,0.186,0.186,0.204,0.204,0.204,0.265,0.265,0.265,0.265,0.265,0.265,0.265,0.265,0.265,0.204,0.046,0.204,0.204,0.204,0.204,0.204,0.204,0.204,0.204,0.204,0.265,0.265,0.265,0.204,0.186,0.0,0.204,0.204,0.204,0.204,0.204,0.204,0.204,0.204,0.204,0.204,0.204,0.204,0.204,0.204,0.204,0.204,0.204,0.204,0.204,0.204,0.204,0.204,0.204,0.204,0.204,0.204,0.204,0.204,0.204,0.204,0.204,0.204
PAg1_gfp,0.166,0.204,0.204,0.204,0.204,0.029,0.029,0.204,0.204,0.204,0.204,0.204,0.204,0.029,0.029,0.029,0.265,0.265,0.265,0.265,0.265,0.265,0.265,0.265,0.265,0.17,0.204,0.044,0.029,0.041,0.041,0.041,0.029,0.029,0.029,0.044,0.265,0.265,0.265,0.029,0.204,0.204,0.0,0.122,0.0,0.014,0.025,0.122,0.122,0.0,0.122,0.122,0.122,0.122,0.122,0.122,0.122,0.122,0.122,0.122,0.122,0.122,0.122,0.02,0.122,0.029,0.029,0.029,0.029,0.037,0.037,0.037,0.144,0.17
PP_gfp,0.166,0.204,0.204,0.204,0.204,0.122,0.122,0.204,0.204,0.204,0.204,0.204,0.204,0.122,0.122,0.122,0.265,0.265,0.265,0.265,0.265,0.265,0.265,0.265,0.265,0.17,0.204,0.122,0.122,0.122,0.122,0.122,0.122,0.122,0.122,0.122,0.265,0.265,0.265,0.122,0.204,0.204,0.122,0.0,0.122,0.122,0.122,0.056,0.028,0.122,0.028,0.028,0.028,0.028,0.001,0.001,0.007,0.003,0.009,0.009,0.009,0.028,0.028,0.122,0.026,0.122,0.122,0.122,0.122,0.122,0.122,0.122,0.144,0.17
P_agglomerans1,0.166,0.204,0.204,0.204,0.204,0.029,0.029,0.204,0.204,0.204,0.204,0.204,0.204,0.029,0.029,0.029,0.265,0.265,0.265,0.265,0.265,0.265,0.265,0.265,0.265,0.17,0.204,0.044,0.029,0.041,0.041,0.041,0.029,0.029,0.029,0.044,0.265,0.265,0.265,0.029,0.204,0.204,0.0,0.122,0.0,0.014,0.025,0.122,0.122,0.0,0.122,0.122,0.122,0.122,0.122,0.122,0.122,0.122,0.122,0.122,0.122,0.122,0.122,0.02,0.122,0.029,0.029,0.029,0.029,0.037,0.037,0.037,0.144,0.17
P_agglomerans3,0.166,0.204,0.204,0.204,0.204,0.029,0.029,0.204,0.204,0.204,0.204,0.204,0.204,0.029,0.029,0.029,0.265,0.265,0.265,0.265,0.265,0.265,0.265,0.265,0.265,0.17,0.204,0.044,0.029,0.041,0.041,0.041,0.029,0.029,0.029,0.044,0.265,0.265,0.265,0.029,0.204,0.204,0.014,0.122,0.014,0.0,0.025,0.122,0.122,0.014,0.122,0.122,0.122,0.122,0.122,0.122,0.122,0.122,0.122,0.122,0.122,0.122,0.122,0.02,0.122,0.029,0.029,0.029,0.029,0.037,0.037,0.037,0.144,0.17
P_allii,0.166,0.204,0.204,0.204,0.204,0.029,0.029,0.204,0.204,0.204,0.204,0.204,0.204,0.029,0.029,0.029,0.265,0.265,0.265,0.265,0.265,0.265,0.265,0.265,0.265,0.17,0.204,0.044,0.029,0.041,0.041,0.041,0.029,0.029,0.029,0.044,0.265,0.265,0.265,0.029,0.204,0.204,0.025,0.122,0.025,0.025,0.0,0.122,0.122,0.025,0.122,0.122,0.122,0.122,0.122,0.122,0.122,0.122,0.122,0.122,0.122,0.122,0.122,0.025,0.122,0.029,0.029,0.029,0.029,0.037,0.037,0.037,0.144,0.17
P_citronellolis,0.166,0.204,0.204,0.204,0.204,0.122,0.122,0.204,0.204,0.204,0.204,0.204,0.204,0.122,0.122,0.122,0.265,0.265,0.265,0.265,0.265,0.265,0.265,0.265,0.265,0.17,0.204,0.122,0.122,0.122,0.122,0.122,0.122,0.122,0.122,0.122,0.265,0.265,0.265,0.122,0.204,0.204,0.122,0.056,0.122,0.122,0.122,0.0,0.056,0.122,0.056,0.056,0.056,0.056,0.056,0.056,0.056,0.056,0.056,0.056,0.056,0.056,0.056,0.122,0.056,0.122,0.122,0.122,0.122,0.122,0.122,0.122,0.144,0.17
P_corrugata,0.166,0.204,0.204,0.204,0.204,0.122,0.122,0.204,0.204,0.204,0.204,0.204,0.204,0.122,0.122,0.122,0.265,0.265,0.265,0.265,0.265,0.265,0.265,0.265,0.265,0.17,0.204,0.122,0.122,0.122,0.122,0.122,0.122,0.122,0.122,0.122,0.265,0.265,0.265,0.122,0.204,0.204,0.122,0.028,0.122,0.122,0.122,0.056,0.0,0.122,0.005,0.024,0.024,0.024,0.028,0.028,0.028,0.028,0.028,0.028,0.028,0.014,0.016,0.122,0.028,0.122,0.122,0.122,0.122,0.122,0.122,0.122,0.144,0.17
P_eucalypti,0.166,0.204,0.204,0.204,0.204,0.029,0.029,0.204,0.204,0.204,0.204,0.204,0.204,0.029,0.029,0.029,0.265,0.265,0.265,0.265,0.265,0.265,0.265,0.265,0.265,0.17,0.204,0.044,0.029,0.041,0.041,0.041,0.029,0.029,0.029,0.044,0.265,0.265,0.265,0.029,0.204,0.204,0.0,0.122,0.0,0.014,0.025,0.122,0.122,0.0,0.122,0.122,0.122,0.122,0.122,0.122,0.122,0.122,0.122,0.122,0.122,0.122,0.122,0.02,0.122,0.029,0.029,0.029,0.029,0.037,0.037,0.037,0.144,0.17
P_helmanticensis,0.166,0.204,0.204,0.204,0.204,0.122,0.122,0.204,0.204,0.204,0.204,0.204,0.204,0.122,0.122,0.122,0.265,0.265,0.265,0.265,0.265,0.265,0.265,0.265,0.265,0.17,0.204,0.122,0.122,0.122,0.122,0.122,0.122,0.122,0.122,0.122,0.265,0.265,0.265,0.122,0.204,0.204,0.122,0.028,0.122,0.122,0.122,0.056,0.005,0.122,0.0,0.024,0.024,0.024,0.028,0.028,0.028,0.028,0.028,0.028,0.028,0.014,0.016,0.122,0.028,0.122,0.122,0.122,0.122,0.122,0.122,0.122,0.144,0.17
P_koreensis1,0.166,0.204,0.204,0.204,0.204,0.122,0.122,0.204,0.204,0.204,0.204,0.204,0.204,0.122,0.122,0.122,0.265,0.265,0.265,0.265,0.265,0.265,0.265,0.265,0.265,0.17,0.204,0.122,0.122,0.122,0.122,0.122,0.122,0.122,0.122,0.122,0.265,0.265,0.265,0.122,0.204,0.204,0.122,0.028,0.122,0.122,0.122,0.056,0.024,0.122,0.024,0.0,0.012,0.012,0.028,0.028,0.028,0.028,0.028,0.028,0.028,0.024,0.024,0.122,0.028,0.122,0.122,0.122,0.122,0.122,0.122,0.122,0.144,0.17
P_koreensis2,0.166,0.204,0.204,0.204,0.204,0.122,0.122,0.204,0.204,0.204,0.204,0.204,0.204,0.122,0.122,0.122,0.265,0.265,0.265,0.265,0.265,0.265,0.265,0.265,0.265,0.17,0.204,0.122,0.122,0.122,0.122,0.122,0.122,0.122,0.122,0.122,0.265,0.265,0.265,0.122,0.204,0.204,0.122,0.028,0.122,0.122,0.122,0.056,0.024,0.122,0.024,0.012,0.0,0.004,0.028,0.028,0.028,0.028,0.028,0.028,0.028,0.024,0.024,0.122,0.028,0.122,0.122,0.122,0.122,0.122,0.122,0.122,0.144,0.17
P_koreensis3,0.166,0.204,0.204,0.204,0.204,0.122,0.122,0.204,0.204,0.204,0.204,0.204,0.204,0.122,0.122,0.122,0.265,0.265,0.265,0.265,0.265,0.265,0.265,0.265,0.265,0.17,0.204,0.122,0.122,0.122,0.122,0.122,0.122,0.122,0.122,0.122,0.265,0.265,0.265,0.122,0.204,0.204,0.122,0.028,0.122,0.122,0.122,0.056,0.024,0.122,0.024,0.012,0.004,0.0,0.028,0.028,0.028,0.028,0.028,0.028,0.028,0.024,0.024,0.122,0.028,0.122,0.122,0.122,0.122,0.122,0.122,0.122,0.144,0.17
P_monteilii1,0.166,0.204,0.204,0.204,0.204,0.122,0.122,0.204,0.204,0.204,0.204,0.204,0.204,0.122,0.122,0.122,0.265,0.265,0.265,0.265,0.265,0.265,0.265,0.265,0.265,0.17,0.204,0.122,0.122,0.122,0.122,0.122,0.122,0.122,0.122,0.122,0.265,0.265,0.265,0.122,0.204,0.204,0.122,0.001,0.122,0.122,0.122,0.056,0.028,0.122,0.028,0.028,0.028,0.028,0.0,0.0,0.007,0.003,0.009,0.009,0.009,0.028,0.028,0.122,0.026,0.122,0.122,0.122,0.122,0.122,0.122,0.122,0.144,0.17
P_monteilii2,0.166,0.204,0.204,0.204,0.204,0.122,0.122,0.204,0.204,0.204,0.204,0.204,0.204,0.122,0.122,0.122,0.265,0.265,0.265,0.265,0.265,0.265,0.265,0.265,0.265,0.17,0.204,0.122,0.122,0.122,0.122,0.122,0.122,0.122,0.122,0.122,0.265,0.265,0.265,0.122,0.204,0.204,0.122,0.001,0.122,0.122,0.122,0.056,0.028,0.122,0.028,0.028,0.028,0.028,0.0,0.0,0.007,0.003,0.009,0.009,0.009,0.028,0.028,0.122,0.026,0.122,0.122,0.122,0.122,0.122,0.122,0.122,0.144,0.17
P_mosselii,0.166,0.204,0.204,0.204,0.204,0.122,0.122,0.204,0.204,0.204,0.204,0.204,0.204,0.122,0.122,0.122,0.265,0.265,0.265,0.265,0.265,0.265,0.265,0.265,0.265,0.17,0.204,0.122,0.122,0.122,0.122,0.122,0.122,0.122,0.122,0.122,0.265,0.265,0.265,0.122,0.204,0.204,0.122,0.007,0.122,0.122,0.122,0.056,0.028,0.122,0.028,0.028,0.028,0.028,0.007,0.007,0.0,0.007,0.009,0.009,0.009,0.028,0.028,0.122,0.026,0.122,0.122,0.122,0.122,0.122,0.122,0.122,0.144,0.17
P_plecoglossicida1,0.166,0.204,0.204,0.204,0.204,0.122,0.122,0.204,0.204,0.204,0.204,0.204,0.204,0.122,0.122,0.122,0.265,0.265,0.265,0.265,0.265,0.265,0.265,0.265,0.265,0.17,0.204,0.122,0.122,0.122,0.122,0.122,0.122,0.122,0.122,0.122,0.265,0.265,0.265,0.122,0.204,0.204,0.122,0.003,0.122,0.122,0.122,0.056,0.028,0.122,0.028,0.028,0.028,0.028,0.003,0.003,0.007,0.0,0.009,0.009,0.009,0.028,0.028,0.122,0.026,0.122,0.122,0.122,0.122,0.122,0.122,0.122,0.144,0.17
P_putida1,0.166,0.204,0.204,0.204,0.204,0.122,0.122,0.204,0.204,0.204,0.204,0.204,0.204,0.122,0.122,0.122,0.265,0.265,0.265,0.265,0.265,0.265,0.265,0.265,0.265,0.17,0.204,0.122,0.122,0.122,0.122,0.122,0.122,0.122,0.122,0.122,0.265,0.265,0.265,0.122,0.204,0.204,0.122,0.009,0.122,0.122,0.122,0.056,0.028,0.122,0.028,0.028,0.028,0.028,0.009,0.009,0.009,0.009,0.0,0.0,0.0,0.028,0.028,0.122,0.026,0.122,0.122,0.122,0.122,0.122,0.122,0.122,0.144,0.17
P_putida2,0.166,0.204,0.204,0.204,0.204,0.122,0.122,0.204,0.204,0.204,0.204,0.204,0.204,0.122,0.122,0.122,0.265,0.265,0.265,0.265,0.265,0.265,0.265,0.265,0.265,0.17,0.204,0.122,0.122,0.122,0.122,0.122,0.122,0.122,0.122,0.122,0.265,0.265,0.265,0.122,0.204,0.204,0.122,0.009,0.122,0.122,0.122,0.056,0.028,0.122,0.028,0.028,0.028,0.028,0.009,0.009,0.009,0.009,0.0,0.0,0.0,0.028,0.028,0.122,0.026,0.122,0.122,0.122,0.122,0.122,0.122,0.122,0.144,0.17
P_putida3,0.166,0.204,0.204,0.204,0.204,0.122,0.122,0.204,0.204,0.204,0.204,0.204,0.204,0.122,0.122,0.122,0.265,0.265,0.265,0.265,0.265,0.265,0.265,0.265,0.265,0.17,0.204,0.122,0.122,0.122,0.122,0.122,0.122,0.122,0.122,0.122,0.265,0.265,0.265,0.122,0.204,0.204,0.122,0.009,0.122,0.122,0.122,0.056,0.028,0.122,0.028,0.028,0.028,0.028,0.009,0.009,0.009,0.009,0.0,0.0,0.0,0.028,0.028,0.122,0.026,0.122,0.122,0.122,0.122,0.122,0.122,0.122,0.144,0.17
P_rhodesiae2,0.166,0.204,0.204,0.204,0.204,0.122,0.122,0.204,0.204,0.204,0.204,0.204,0.204,0.122,0.122,0.122,0.265,0.265,0.265,0.265,0.265,0.265,0.265,0.265,0.265,0.17,0.204,0.122,0.122,0.122,0.122,0.122,0.122,0.122,0.122,0.122,0.265,0.265,0.265,0.122,0.204,0.204,0.122,0.028,0.122,0.122,0.122,0.056,0.014,0.122,0.014,0.024,0.024,0.024,0.028,0.028,0.028,0.028,0.028,0.028,0.028,0.0,0.016,0.122,0.028,0.122,0.122,0.122,0.122,0.122,0.122,0.122,0.144,0.17
P_simiae,0.166,0.204,0.204,0.204,0.204,0.122,0.122,0.204,0.204,0.204,0.204,0.204,0.204,0.122,0.122,0.122,0.265,0.265,0.265,0.265,0.265,0.265,0.265,0.265,0.265,0.17,0.204,0.122,0.122,0.122,0.122,0.122,0.122,0.122,0.122,0.122,0.265,0.265,0.265,0.122,0.204,0.204,0.122,0.028,0.122,0.122,0.122,0.056,0.016,0.122,0.016,0.024,0.024,0.024,0.028,0.028,0.028,0.028,0.028,0.028,0.028,0.016,0.0,0.122,0.028,0.122,0.122,0.122,0.122,0.122,0.122,0.122,0.144,0.17
P_vagans,0.166,0.204,0.204,0.204,0.204,0.029,0.029,0.204,0.204,0.204,0.204,0.204,0.204,0.029,0.029,0.029,0.265,0.265,0.265,0.265,0.265,0.265,0.265,0.265,0.265,0.17,0.204,0.044,0.029,0.041,0.041,0.041,0.029,0.029,0.029,0.044,0.265,0.265,0.265,0.029,0.204,0.204,0.02,0.122,0.02,0.02,0.025,0.122,0.122,0.02,0.122,0.122,0.122,0.122,0.122,0.122,0.122,0.122,0.122,0.122,0.122,0.122,0.122,0.0,0.122,0.029,0.029,0.029,0.029,0.037,0.037,0.037,0.144,0.17
P_viridiflava,0.166,0.204,0.204,0.204,0.204,0.122,0.122,0.204,0.204,0.204,0.204,0.204,0.204,0.122,0.122,0.122,0.265,0.265,0.265,0.265,0.265,0.265,0.265,0.265,0.265,0.17,0.204,0.122,0.122,0.122,0.122,0.122,0.122,0.122,0.122,0.122,0.265,0.265,0.265,0.122,0.204,0.204,0.122,0.026,0.122,0.122,0.122,0.056,0.028,0.122,0.028,0.028,0.028,0.028,0.026,0.026,0.026,0.026,0.026,0.026,0.026,0.028,0.028,0.122,0.0,0.122,0.122,0.122,0.122,0.122,0.122,0.122,0.144,0.17
R_planticola1,0.166,0.204,0.204,0.204,0.204,0.017,0.017,0.204,0.204,0.204,0.204,0.204,0.204,0.017,0.017,0.017,0.265,0.265,0.265,0.265,0.265,0.265,0.265,0.265,0.265,0.17,0.204,0.044,0.017,0.041,0.041,0.041,0.028,0.028,0.028,0.044,0.265,0.265,0.265,0.022,0.204,0.204,0.029,0.122,0.029,0.029,0.029,0.122,0.122,0.029,0.122,0.122,0.122,0.122,0.122,0.122,0.122,0.122,0.122,0.122,0.122,0.122,0.122,0.029,0.122,0.0,0.003,0.003,0.005,0.037,0.037,0.037,0.144,0.17
R_planticola2,0.166,0.204,0.204,0.204,0.204,0.017,0.017,0.204,0.204,0.204,0.204,0.204,0.204,0.017,0.017,0.017,0.265,0.265,0.265,0.265,0.265,0.265,0.265,0.265,0.265,0.17,0.204,0.044,0.017,0.041,0.041,0.041,0.028,0.028,0.028,0.044,0.265,0.265,0.265,0.022,0.204,0.204,0.029,0.122,0.029,0.029,0.029,0.122,0.122,0.029,0.122,0.122,0.122,0.122,0.122,0.122,0.122,0.122,0.122,0.122,0.122,0.122,0.122,0.029,0.122,0.003,0.0,0.001,0.005,0.037,0.037,0.037,0.144,0.17
R_planticola3,0.166,0.204,0.204,0.204,0.204,0.017,0.017,0.204,0.204,0.204,0.204,0.204,0.204,0.017,0.017,0.017,0.265,0.265,0.265,0.265,0.265,0.265,0.265,0.265,0.265,0.17,0.204,0.044,0.017,0.041,0.041,0.041,0.028,0.028,0.028,0.044,0.265,0.265,0.265,0.022,0.204,0.204,0.029,0.122,0.029,0.029,0.029,0.122,0.122,0.029,0.122,0.122,0.122,0.122,0.122,0.122,0.122,0.122,0.122,0.122,0.122,0.122,0.122,0.029,0.122,0.003,0.001,0.0,0.005,0.037,0.037,0.037,0.144,0.17
R_planticola4,0.166,0.204,0.204,0.204,0.204,0.017,0.017,0.204,0.204,0.204,0.204,0.204,0.204,0.017,0.017,0.017,0.265,0.265,0.265,0.265,0.265,0.265,0.265,0.265,0.265,0.17,0.204,0.044,0.017,0.041,0.041,0.041,0.028,0.028,0.028,0.044,0.265,0.265,0.265,0.022,0.204,0.204,0.029,0.122,0.029,0.029,0.029,0.122,0.122,0.029,0.122,0.122,0.122,0.122,0.122,0.122,0.122,0.122,0.122,0.122,0.122,0.122,0.122,0.029,0.122,0.005,0.005,0.005,0.0,0.037,0.037,0.037,0.144,0.17
S_fonticola1,0.166,0.204,0.204,0.204,0.204,0.037,0.037,0.204,0.204,0.204,0.204,0.204,0.204,0.037,0.037,0.037,0.265,0.265,0.265,0.265,0.265,0.265,0.265,0.265,0.265,0.17,0.204,0.044,0.037,0.041,0.041,0.041,0.037,0.037,0.037,0.044,0.265,0.265,0.265,0.037,0.204,0.204,0.037,0.122,0.037,0.037,0.037,0.122,0.122,0.037,0.122,0.122,0.122,0.122,0.122,0.122,0.122,0.122,0.122,0.122,0.122,0.122,0.122,0.037,0.122,0.037,0.037,0.037,0.037,0.0,0.007,0.007,0.144,0.17
S_fonticola2,0.166,0.204,0.204,0.204,0.204,0.037,0.037,0.204,0.204,0.204,0.204,0.204,0.204,0.037,0.037,0.037,0.265,0.265,0.265,0.265,0.265,0.265,0.265,0.265,0.265,0.17,0.204,0.044,0.037,0.041,0.041,0.041,0.037,0.037,0.037,0.044,0.265,0.265,0.265,0.037,0.204,0.204,0.037,0.122,0.037,0.037,0.037,0.122,0.122,0.037,0.122,0.122,0.122,0.122,0.122,0.122,0.122,0.122,0.122,0.122,0.122,0.122,0.122,0.037,0.122,0.037,0.037,0.037,0.037,0.007,0.0,0.005,0.144,0.17
S_fonticola3,0.166,0.204,0.204,0.204,0.204,0.037,0.037,0.204,0.204,0.204,0.204,0.204,0.204,0.037,0.037,0.037,0.265,0.265,0.265,0.265,0.265,0.265,0.265,0.265,0.265,0.17,0.204,0.044,0.037,0.041,0.041,0.041,0.037,0.037,0.037,0.044,0.265,0.265,0.265,0.037,0.204,0.204,0.037,0.122,0.037,0.037,0.037,0.122,0.122,0.037,0.122,0.122,0.122,0.122,0.122,0.122,0.122,0.122,0.122,0.122,0.122,0.122,0.122,0.037,0.122,0.037,0.037,0.037,0.037,0.007,0.005,0.0,0.144,0.17
S_rhizophila,0.166,0.204,0.204,0.204,0.204,0.144,0.144,0.204,0.204,0.204,0.204,0.204,0.204,0.144,0.144,0.144,0.265,0.265,0.265,0.265,0.265,0.265,0.265,0.265,0.265,0.17,0.204,0.144,0.144,0.144,0.144,0.144,0.144,0.144,0.144,0.144,0.265,0.265,0.265,0.144,0.204,0.204,0.144,0.144,0.144,0.144,0.144,0.144,0.144,0.144,0.144,0.144,0.144,0.144,0.144,0.144,0.144,0.144,0.144,0.144,0.144,0.144,0.144,0.144,0.144,0.144,0.144,0.144,0.144,0.144,0.144,0.144,0.0,0.17
V_guangxiensis,0.17,0.204,0.204,0.204,0.204,0.17,0.17,0.204,0.204,0.204,0.204,0.204,0.204,0.17,0.17,0.17,0.265,0.265,0.265,0.265,0.265,0.265,0.265,0.265,0.265,0.048,0.204,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.265,0.265,0.265,0.17,0.204,0.204,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.0
